agno;grado;rbd;dvrbd;establec;comuna;gruposoec;area;nalu_lect;nalu_mate;prom_lect;prom_mate;dif_lect;dif_mate;difgru_lect;difgru_mate;sigdif_lect;sigdif_mate;siggru_lect;siggru_mate;ins_lect;ele_lect;ade_lect;ins_mate;ele_mate;ade_mate
2016;4b;6352;5;ESCUELA AMANECER DE VILLA LOS BOLDOS;TOLTEN;2;1;7;7;290;242;23;-16;36;-6;0;0;1;0;;;;;;
2017;4b;6352;5;ESCUELA AMANECER DE VILLA LOS BOLDOS;TOLTEN;1;1;10;10;237;239;-53;-3;-13;1;-1;0;0;0;60;20;20;50;30;20
2018;4b;6352;5;ESCUELA AMANECER DE VILLA LOS BOLDOS;TOLTEN;2;1;11;10;246;241;9;2;-13;-7;0;0;0;0;63,6;9,1;27,3;60;40;0
2017;8b;6352;5;ESCUELA AMANECER DE VILLA LOS BOLDOS;TOLTEN;1;1;16;14;257;243;35;1;33;13;1;0;1;1;;;;;;
2019;8b;6352;5;ESCUELA AMANECER DE VILLA LOS BOLDOS;TOLTEN;2;1;8;8;249;266;-8;23;21;21;0;0;1;1;;;;;;
2016;2m;6397;5;LICEO MUNICIPAL BARROS ARANA;TEODORO SCHMIDT;1;1;19;17;207;196;-37;-7;-16;-26;-1;0;-1;-1;78.9;10.5;10.5;82.4;17.6;0
2017;2m;6397;5;LICEO MUNICIPAL BARROS ARANA;TEODORO SCHMIDT;1;1;21;18;207;203;0;7;-21;-21;0;0;-1;-1;95.2;4.8;0;94.4;5.6;0
2018;2m;6397;5;LICEO MUNICIPAL BARROS ARANA;TEODORO SCHMIDT;1;1;13;13;226;220;19;17;-2;-8;0;0;0;0;84,6;7,7;7,7;84,6;15,4;0
2016;4b;6397;5;LICEO MUNICIPAL BARROS ARANA;TEODORO SCHMIDT;2;1;8;8;232;205;-17;-69;-22;-43;0;-1;-1;-1;;;;;;
2017;4b;6397;5;LICEO MUNICIPAL BARROS ARANA;TEODORO SCHMIDT;2;1;10;10;240;203;8;-2;-16;-45;0;0;-1;-1;50;40;10;80;20;0
2018;4b;6397;5;LICEO MUNICIPAL BARROS ARANA;TEODORO SCHMIDT;1;1;5;5;233;222;0;0;0;0;0;0;0;0;;;;;;
2017;8b;6397;5;LICEO MUNICIPAL BARROS ARANA;TEODORO;1;1;16;17;210;225;-41;-22;-14;-5;-1;0;-1;0;;;;;;
2019;8b;6397;5;LICEO MUNICIPAL BARROS ARANA;TEODORO;2;1;15;15;234;239;24;14;6;-6;1;0;0;0;;;;;;
2016;4b;6399;1;ESCUELA HORIZONTES;TEODORO SCHMIDT;1;1;18;18;274;259;28;26;27;22;1;1;1;1;27.8;27.8;44.4;33.3;50;16.7
2017;4b;6399;1;ESCUELA HORIZONTES;TEODORO SCHMIDT;2;1;19;19;262;218;-12;-41;6;-30;0;-1;0;-1;36.8;31.6;31.6;78.9;15.8;5.3
2018;4b;6399;1;ESCUELA HORIZONTES;TEODORO SCHMIDT;1;1;14;14;225;205;-37;-13;-26;-32;-1;0;-1;-1;64,3;21,4;14,3;78,6;21,4;0
2017;8b;6399;1;ESCUELA HORIZONTES;TEODORO;1;1;21;19;236;217;7;-6;12;-13;0;0;1;-1;;;;;;
2019;8b;6399;1;ESCUELA HORIZONTES;TEODORO;1;1;30;30;204;225;-32;8;-18;-9;-1;0;-1;-1;;;;;;
2016;2m;6452;1;LICEO REINO DE SUECIA;SAAVEDRA;1;1;42;39;216;199;5;-3;-7;-23;0;0;0;-1;76.2;19;4.8;84.6;15.4;0
2017;2m;6452;1;LICEO REINO DE SUECIA;SAAVEDRA;1;1;47;50;228;209;12;10;0;-15;0;0;0;-1;68.1;29.8;2.1;84;16;0
2018;2m;6452;1;LICEO REINO DE SUECIA;SAAVEDRA;1;1;30;29;216;196;-12;-13;-12;-32;0;0;-1;-1;76,7;20;3,3;100;0;0
2016;4b;6452;1;LICEO REINO DE SUECIA;SAAVEDRA;2;1;17;18;251;243;18;23;-3;-5;1;1;0;0;41.2;35.3;23.5;44.4;44.4;11.1
2017;4b;6452;1;LICEO REINO DE SUECIA;SAAVEDRA;2;1;16;17;268;232;17;-11;12;-16;0;0;1;-1;25;37.5;37.5;58.8;29.4;11.8
2018;4b;6452;1;LICEO REINO DE SUECIA;SAAVEDRA;2;1;28;30;278;245;10;13;19;-3;0;0;1;0;21,4;21,4;57,1;53,3;30;16,7
2017;8b;6452;1;LICEO REINO DE SUECIA;SAAVEDRA;2;1;27;26;214;210;18;-7;-17;-31;0;0;-1;-1;;;;;;
2019;8b;6452;1;LICEO REINO DE SUECIA;SAAVEDRA;2;1;24;23;230;217;16;7;2;-28;0;0;0;-1;;;;;;
2016;4b;6499;8;ROMILIO ADRIAZOLA;CARAHUE;1;1;21;21;257;212;21;-10;10;-25;1;0;0;-1;38.1;23.8;38.1;76.2;23.8;0
2017;4b;6499;8;ROMILIO ADRIAZOLA;CARAHUE;2;1;19;20;244;224;-13;12;-12;-24;0;0;-1;-1;47.4;21.1;31.6;65;35;0
2018;4b;6499;8;ROMILIO ADRIAZOLA;CARAHUE;1;1;26;25;266;224;22;0;15;-13;1;0;1;-1;42,3;7,7;50;64;28;8
2017;8b;6499;8;ROMILIO ADRIAZOLA;CARAHUE;1;1;22;22;236;238;-2;0;12;8;0;0;1;0;;;;;;
2019;8b;6499;8;ROMILIO ADRIAZOLA;CARAHUE;1;1;17;18;233;234;-3;-4;11;0;0;0;1;0;;;;;;
2018;2m;6500;5;COMPLEJO EDUCACIONAL DARÍO SALAS;CARAHUE;2;1;52;55;247;235;0;0;4;-15;0;0;0;-1;48,1;38,5;13,5;65,5;25,5;9,1
2016;4b;6500;5;ESCUELA DARIO SALAS DIAZ;CARAHUE;2;1;57;55;259;257;-17;-16;5;9;-1;-1;1;1;35.1;31.6;33.3;40;43.6;16.4
2017;4b;6500;5;ESCUELA DARIO SALAS DIAZ;CARAHUE;2;1;56;56;269;253;10;-4;13;5;0;0;1;0;25;32.1;42.9;39.3;50;10.7
2018;4b;6500;5;COMPLEJO EDUCACIONAL DARÍO SALAS;CARAHUE;2;1;59;58;258;254;-11;1;-1;6;0;0;0;1;39;23,7;37,3;44,8;34,5;20,7
2017;8b;6500;5;ESCUELA DARIO SALAS DIAZ;CARAHUE;2;1;58;59;254;258;-31;-25;23;17;-1;-1;1;1;;;;;;
2019;8b;6500;5;COMPLEJO EDUCACIONAL DARÍO SALAS;CARAHUE;3;1;96;100;241;250;-13;-8;-1;-13;-1;0;0;-1;;;;;;
2016;2m;20053;0;LICEO TECNICO PROFESIONAL HUALPIN;TEODORO SCHMIDT;1;2;14;12;226;184;12;-9;3;-38;0;0;0;-1;71.4;28.6;0;100;0;0
2017;2m;20053;0;LICEO TECNICO PROFESIONAL HUALPIN;TEODORO SCHMIDT;1;2;23;21;210;177;-16;-7;-18;-47;0;0;-1;-1;100;0;0;100;0;0
2018;2m;20053;0;LICEO TECNICO PROFESIONAL HUALPIN;TEODORO SCHMIDT;1;2;20;18;213;201;3;24;-15;-27;0;0;-1;-1;90;5;5;88,9;11,1;0
2016;2m;20248;7;LICEO MUNICIPAL TROVOLHUE;CARAHUE;1;1;38;39;229;209;-11;-1;6;-13;0;0;0;-1;71.1;18.4;10.5;79.5;17.9;2.6
2017;2m;20248;7;LICEO MUNICIPAL TROVOLHUE;CARAHUE;1;1;36;34;218;223;-11;14;-10;-1;0;0;-1;0;88.9;11.1;0;73.5;26.5;0
2018;2m;20248;7;LICEO MUNICIPAL TROVOLHUE;CARAHUE;1;1;19;17;234;228;16;5;6;0;0;0;0;0;78,9;10,5;10,5;70,6;29,4;0
2017;8b;20248;7;LICEO MUNICIPAL TROVOLHUE;CARAHUE;1;1;9;12;229;224;0;-6;5;-6;0;0;0;0;;;;;;
2019;8b;20248;7;LICEO MUNICIPAL TROVOLHUE;CARAHUE;2;1;15;17;193;221;-36;-3;-35;-24;-1;0;-1;-1;;;;;;