RBD,ESTABLECIMIENTO,COMUNA,SECTOR,NIVEL,PUNTAJE
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,Matematicas ,3° Básico,566
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,Matematicas ,4° Básico,576
6351,ESCUELA EL SEMBRADOR,TOLTÉN,Matematicas ,1° Básico,535
6351,ESCUELA EL SEMBRADOR,TOLTÉN,Matematicas ,2° Básico,569
6351,ESCUELA EL SEMBRADOR,TOLTÉN,Matematicas ,3° Básico,511
6351,ESCUELA EL SEMBRADOR,TOLTÉN,Matematicas ,4° Básico,521
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,Matematicas ,1° Básico,523
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,Matematicas ,2° Básico,570
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,Matematicas ,3° Básico,556
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,Matematicas ,4° Básico,630
6353,ESCUELA SAN PEDRO,TOLTÉN,Matematicas ,1° Básico,
6353,ESCUELA SAN PEDRO,TOLTÉN,Matematicas ,2° Básico,578
6353,ESCUELA SAN PEDRO,TOLTÉN,Matematicas ,3° Básico,593
6353,ESCUELA SAN PEDRO,TOLTÉN,Matematicas ,4° Básico,591
6354,ESCUELA LA CASCADA,TOLTÉN,Matematicas ,1° Básico,600
6354,ESCUELA LA CASCADA,TOLTÉN,Matematicas ,2° Básico,637
6354,ESCUELA LA CASCADA,TOLTÉN,Matematicas ,3° Básico,
6354,ESCUELA LA CASCADA,TOLTÉN,Matematicas ,4° Básico,706
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,Matematicas ,1° Básico,584
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,Matematicas ,2° Básico,530
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,Matematicas ,3° Básico,581
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,Matematicas ,4° Básico,553
6361,ESCUELA DE CAYCHAYEN,TEODORO SCHMIDT,Matematicas ,1° Básico,
6361,ESCUELA DE CAYCHAYEN,TEODORO SCHMIDT,Matematicas ,2° Básico,543
6361,ESCUELA DE CAYCHAYEN,TEODORO SCHMIDT,Matematicas ,3° Básico,
6361,ESCUELA DE CAYCHAYEN,TEODORO SCHMIDT,Matematicas ,4° Básico,
6370,ESCUELA LA CONCEPCION,TOLTÉN,Matematicas ,1° Básico,
6370,ESCUELA LA CONCEPCION,TOLTÉN,Matematicas ,2° Básico,604
6370,ESCUELA LA CONCEPCION,TOLTÉN,Matematicas ,3° Básico,
6370,ESCUELA LA CONCEPCION,TOLTÉN,Matematicas ,4° Básico,
6371,ESCUELA ANTU-LAFQUEN,TOLTÉN,Matematicas ,1° Básico,549
6371,ESCUELA ANTU-LAFQUEN,TOLTÉN,Matematicas ,2° Básico,521
6371,ESCUELA ANTU-LAFQUEN,TOLTÉN,Matematicas ,3° Básico,546
6371,ESCUELA ANTU-LAFQUEN,TOLTÉN,Matematicas ,4° Básico,556
6373,ESCUELA PORMA,TEODORO SCHMIDT,Matematicas ,1° Básico,545
6373,ESCUELA PORMA,TEODORO SCHMIDT,Matematicas ,2° Básico,562
6373,ESCUELA PORMA,TEODORO SCHMIDT,Matematicas ,3° Básico,581
6373,ESCUELA PORMA,TEODORO SCHMIDT,Matematicas ,4° Básico,596
6397,LICEO MUNICIPAL BARROS ARANA,TEODORO SCHMIDT,Matematicas ,1° Básico,544
6397,LICEO MUNICIPAL BARROS ARANA,TEODORO SCHMIDT,Matematicas ,2° Básico,529
6397,LICEO MUNICIPAL BARROS ARANA,TEODORO SCHMIDT,Matematicas ,3° Básico,583
6397,LICEO MUNICIPAL BARROS ARANA,TEODORO SCHMIDT,Matematicas ,4° Básico,564
6398,ESCUELA NUEVA ALBORADA,TEODORO SCHMIDT,Matematicas ,1° Básico,
6398,ESCUELA NUEVA ALBORADA,TEODORO SCHMIDT,Matematicas ,2° Básico,572
6398,ESCUELA NUEVA ALBORADA,TEODORO SCHMIDT,Matematicas ,3° Básico,560
6398,ESCUELA NUEVA ALBORADA,TEODORO SCHMIDT,Matematicas ,4° Básico,561
6399,ESCUELA HORIZONTES,TEODORO SCHMIDT,Matematicas ,1° Básico,602
6399,ESCUELA HORIZONTES,TEODORO SCHMIDT,Matematicas ,2° Básico,636
6399,ESCUELA HORIZONTES,TEODORO SCHMIDT,Matematicas ,3° Básico,623
6399,ESCUELA HORIZONTES,TEODORO SCHMIDT,Matematicas ,4° Básico,634
6400,ESCUELA ISLA LLICAN,TEODORO SCHMIDT,Matematicas ,1° Básico,532
6400,ESCUELA ISLA LLICAN,TEODORO SCHMIDT,Matematicas ,2° Básico,517
6400,ESCUELA ISLA LLICAN,TEODORO SCHMIDT,Matematicas ,3° Básico,538
6400,ESCUELA ISLA LLICAN,TEODORO SCHMIDT,Matematicas ,4° Básico,580
6407,ESCUELA NOHUALHUE,TEODORO SCHMIDT,Matematicas ,1° Básico,
6407,ESCUELA NOHUALHUE,TEODORO SCHMIDT,Matematicas ,2° Básico,578
6407,ESCUELA NOHUALHUE,TEODORO SCHMIDT,Matematicas ,3° Básico,617
6407,ESCUELA NOHUALHUE,TEODORO SCHMIDT,Matematicas ,4° Básico,612
6410,ESCUELA MALALHUE,TEODORO SCHMIDT,Matematicas ,1° Básico,
6410,ESCUELA MALALHUE,TEODORO SCHMIDT,Matematicas ,2° Básico,
6410,ESCUELA MALALHUE,TEODORO SCHMIDT,Matematicas ,3° Básico,
6410,ESCUELA MALALHUE,TEODORO SCHMIDT,Matematicas ,4° Básico,656
6411,ESCUELA PUYEHUE,TEODORO SCHMIDT,Matematicas ,1° Básico,556
6411,ESCUELA PUYEHUE,TEODORO SCHMIDT,Matematicas ,2° Básico,586
6411,ESCUELA PUYEHUE,TEODORO SCHMIDT,Matematicas ,3° Básico,589
6411,ESCUELA PUYEHUE,TEODORO SCHMIDT,Matematicas ,4° Básico,623
6413,ESCUELA DE RUCA-CURA,TEODORO SCHMIDT,Matematicas ,1° Básico,
6413,ESCUELA DE RUCA-CURA,TEODORO SCHMIDT,Matematicas ,2° Básico,595
6413,ESCUELA DE RUCA-CURA,TEODORO SCHMIDT,Matematicas ,3° Básico,538
6413,ESCUELA DE RUCA-CURA,TEODORO SCHMIDT,Matematicas ,4° Básico,534
6415,ESCUELA LOS TRONCOS,TEODORO SCHMIDT,Matematicas ,1° Básico,
6415,ESCUELA LOS TRONCOS,TEODORO SCHMIDT,Matematicas ,2° Básico,575
6415,ESCUELA LOS TRONCOS,TEODORO SCHMIDT,Matematicas ,3° Básico,
6415,ESCUELA LOS TRONCOS,TEODORO SCHMIDT,Matematicas ,4° Básico,592
6452,LICEO REINO DE SUECIA,SAAVEDRA,Matematicas ,1° Básico,529
6452,LICEO REINO DE SUECIA,SAAVEDRA,Matematicas ,2° Básico,525
6452,LICEO REINO DE SUECIA,SAAVEDRA,Matematicas ,3° Básico,537
6452,LICEO REINO DE SUECIA,SAAVEDRA,Matematicas ,4° Básico,532
6454,ESCUELA BASICA COLLICO RANCO,SAAVEDRA,Matematicas ,1° Básico,562
6454,ESCUELA BASICA COLLICO RANCO,SAAVEDRA,Matematicas ,2° Básico,583
6454,ESCUELA BASICA COLLICO RANCO,SAAVEDRA,Matematicas ,3° Básico,602
6454,ESCUELA BASICA COLLICO RANCO,SAAVEDRA,Matematicas ,4° Básico,563
6455,ESCUELA BASICA BARTOLO LLANCALEO,SAAVEDRA,Matematicas ,1° Básico,552
6455,ESCUELA BASICA BARTOLO LLANCALEO,SAAVEDRA,Matematicas ,2° Básico,581
6455,ESCUELA BASICA BARTOLO LLANCALEO,SAAVEDRA,Matematicas ,3° Básico,505
6455,ESCUELA BASICA BARTOLO LLANCALEO,SAAVEDRA,Matematicas ,4° Básico,539
6457,ESC. BASICA AUGUSTO WINTER TAPIA,SAAVEDRA,Matematicas ,1° Básico,538
6457,ESC. BASICA AUGUSTO WINTER TAPIA,SAAVEDRA,Matematicas ,2° Básico,529
6457,ESC. BASICA AUGUSTO WINTER TAPIA,SAAVEDRA,Matematicas ,3° Básico,508
6457,ESC. BASICA AUGUSTO WINTER TAPIA,SAAVEDRA,Matematicas ,4° Básico,575
6458,ESCUELA BASICA CALOF,SAAVEDRA,Matematicas ,1° Básico,
6458,ESCUELA BASICA CALOF,SAAVEDRA,Matematicas ,2° Básico,521
6458,ESCUELA BASICA CALOF,SAAVEDRA,Matematicas ,3° Básico,553
6458,ESCUELA BASICA CALOF,SAAVEDRA,Matematicas ,4° Básico,576
6495,ESCUELA RUCA RAQUI,SAAVEDRA,Matematicas ,1° Básico,537
6495,ESCUELA RUCA RAQUI,SAAVEDRA,Matematicas ,2° Básico,508
6495,ESCUELA RUCA RAQUI,SAAVEDRA,Matematicas ,3° Básico,528
6495,ESCUELA RUCA RAQUI,SAAVEDRA,Matematicas ,4° Básico,542
6499,ROMILIO ADRIAZOLA,CARAHUE,Matematicas ,1° Básico,563
6499,ROMILIO ADRIAZOLA,CARAHUE,Matematicas ,2° Básico,638
6499,ROMILIO ADRIAZOLA,CARAHUE,Matematicas ,3° Básico,549
6499,ROMILIO ADRIAZOLA,CARAHUE,Matematicas ,4° Básico,575
6500,ESCUELA DARIO SALAS DIAZ,CARAHUE,Matematicas ,1° Básico,579
6500,ESCUELA DARIO SALAS DIAZ,CARAHUE,Matematicas ,2° Básico,612
6500,ESCUELA DARIO SALAS DIAZ,CARAHUE,Matematicas ,3° Básico,619
6500,ESCUELA DARIO SALAS DIAZ,CARAHUE,Matematicas ,4° Básico,591
6501,ESCUELA BASICA KIM RUKA,CARAHUE,Matematicas ,1° Básico,595
6501,ESCUELA BASICA KIM RUKA,CARAHUE,Matematicas ,2° Básico,586
6501,ESCUELA BASICA KIM RUKA,CARAHUE,Matematicas ,3° Básico,596
6501,ESCUELA BASICA KIM RUKA,CARAHUE,Matematicas ,4° Básico,593
6502,ESCUELA BASICA NEHUENTUE,CARAHUE,Matematicas ,1° Básico,572
6502,ESCUELA BASICA NEHUENTUE,CARAHUE,Matematicas ,2° Básico,595
6502,ESCUELA BASICA NEHUENTUE,CARAHUE,Matematicas ,3° Básico,610
6502,ESCUELA BASICA NEHUENTUE,CARAHUE,Matematicas ,4° Básico,598
6504,ESCUELA TRANAPUENTE,CARAHUE,Matematicas ,1° Básico,524
6504,ESCUELA TRANAPUENTE,CARAHUE,Matematicas ,2° Básico,528
6504,ESCUELA TRANAPUENTE,CARAHUE,Matematicas ,3° Básico,528
6504,ESCUELA TRANAPUENTE,CARAHUE,Matematicas ,4° Básico,543
6506,ESCUELA MUNICIPAL DINAMARCA,CARAHUE,Matematicas ,1° Básico,
6506,ESCUELA MUNICIPAL DINAMARCA,CARAHUE,Matematicas ,2° Básico,
6506,ESCUELA MUNICIPAL DINAMARCA,CARAHUE,Matematicas ,3° Básico,645
6506,ESCUELA MUNICIPAL DINAMARCA,CARAHUE,Matematicas ,4° Básico,
6508,ESCUELA BASICA DINAMARCA. LUCERO,CARAHUE,Matematicas ,1° Básico,
6508,ESCUELA BASICA DINAMARCA. LUCERO,CARAHUE,Matematicas ,2° Básico,556
6508,ESCUELA BASICA DINAMARCA. LUCERO,CARAHUE,Matematicas ,3° Básico,
6508,ESCUELA BASICA DINAMARCA. LUCERO,CARAHUE,Matematicas ,4° Básico,
6510,ESCUELA BASICA PAILACOYAN,CARAHUE,Matematicas ,1° Básico,
6510,ESCUELA BASICA PAILACOYAN,CARAHUE,Matematicas ,2° Básico,586
6510,ESCUELA BASICA PAILACOYAN,CARAHUE,Matematicas ,3° Básico,
6510,ESCUELA BASICA PAILACOYAN,CARAHUE,Matematicas ,4° Básico,
6512,ESCUELA VILLA LAS ARAUCARIAS,CARAHUE,Matematicas ,1° Básico,
6512,ESCUELA VILLA LAS ARAUCARIAS,CARAHUE,Matematicas ,2° Básico,543
6512,ESCUELA VILLA LAS ARAUCARIAS,CARAHUE,Matematicas ,3° Básico,
6512,ESCUELA VILLA LAS ARAUCARIAS,CARAHUE,Matematicas ,4° Básico,606
6515,ESCUELA CATRIPULLI,CARAHUE,Matematicas ,1° Básico,548
6515,ESCUELA CATRIPULLI,CARAHUE,Matematicas ,2° Básico,
6515,ESCUELA CATRIPULLI,CARAHUE,Matematicas ,3° Básico,
6515,ESCUELA CATRIPULLI,CARAHUE,Matematicas ,4° Básico,
6521,ESCUELA BASICA CAMARONES,CARAHUE,Matematicas ,1° Básico,
6521,ESCUELA BASICA CAMARONES,CARAHUE,Matematicas ,2° Básico,
6521,ESCUELA BASICA CAMARONES,CARAHUE,Matematicas ,3° Básico,
6521,ESCUELA BASICA CAMARONES,CARAHUE,Matematicas ,4° Básico,612
6522,ESCUELA BASICA PUYANGUE,CARAHUE,Matematicas ,1° Básico,
6522,ESCUELA BASICA PUYANGUE,CARAHUE,Matematicas ,2° Básico,595
6522,ESCUELA BASICA PUYANGUE,CARAHUE,Matematicas ,3° Básico,
6522,ESCUELA BASICA PUYANGUE,CARAHUE,Matematicas ,4° Básico,
6523,ESCUELA BASICA CHOMIO,CARAHUE,Matematicas ,1° Básico,568
6523,ESCUELA BASICA CHOMIO,CARAHUE,Matematicas ,2° Básico,
6523,ESCUELA BASICA CHOMIO,CARAHUE,Matematicas ,3° Básico,564
6523,ESCUELA BASICA CHOMIO,CARAHUE,Matematicas ,4° Básico,649
6524,ESCUELA CULLINCO,CARAHUE,Matematicas ,1° Básico,
6524,ESCUELA CULLINCO,CARAHUE,Matematicas ,2° Básico,
6524,ESCUELA CULLINCO,CARAHUE,Matematicas ,3° Básico,617
6524,ESCUELA CULLINCO,CARAHUE,Matematicas ,4° Básico,642
6528,ESCUELA BASICA BAJO YUPEHUE,CARAHUE,Matematicas ,1° Básico,595
6528,ESCUELA BASICA BAJO YUPEHUE,CARAHUE,Matematicas ,2° Básico,552
6528,ESCUELA BASICA BAJO YUPEHUE,CARAHUE,Matematicas ,3° Básico,609
6528,ESCUELA BASICA BAJO YUPEHUE,CARAHUE,Matematicas ,4° Básico,594
6529,ESCUELA BASICA MATTE Y SANCHEZ,CARAHUE,Matematicas ,1° Básico,
6529,ESCUELA BASICA MATTE Y SANCHEZ,CARAHUE,Matematicas ,2° Básico,576
6529,ESCUELA BASICA MATTE Y SANCHEZ,CARAHUE,Matematicas ,3° Básico,
6529,ESCUELA BASICA MATTE Y SANCHEZ,CARAHUE,Matematicas ,4° Básico,586
6539,ESCUELA BASICA COI COI,CARAHUE,Matematicas ,1° Básico,515
6539,ESCUELA BASICA COI COI,CARAHUE,Matematicas ,2° Básico,541
6539,ESCUELA BASICA COI COI,CARAHUE,Matematicas ,3° Básico,575
6539,ESCUELA BASICA COI COI,CARAHUE,Matematicas ,4° Básico,
6587,ESCUELA ALEJANDRO GOROSTIAGA,NUEVA IMPERIAL,Matematicas ,1° Básico,516
6587,ESCUELA ALEJANDRO GOROSTIAGA,NUEVA IMPERIAL,Matematicas ,2° Básico,537
6587,ESCUELA ALEJANDRO GOROSTIAGA,NUEVA IMPERIAL,Matematicas ,3° Básico,545
6587,ESCUELA ALEJANDRO GOROSTIAGA,NUEVA IMPERIAL,Matematicas ,4° Básico,553
6588,ESCUELA REPUBLICA,NUEVA IMPERIAL,Matematicas ,1° Básico,514
6588,ESCUELA REPUBLICA,NUEVA IMPERIAL,Matematicas ,2° Básico,589
6588,ESCUELA REPUBLICA,NUEVA IMPERIAL,Matematicas ,3° Básico,605
6588,ESCUELA REPUBLICA,NUEVA IMPERIAL,Matematicas ,4° Básico,606
6589,ESCUELA JUAN XXIII,NUEVA IMPERIAL,Matematicas ,1° Básico,588
6589,ESCUELA JUAN XXIII,NUEVA IMPERIAL,Matematicas ,2° Básico,525
6589,ESCUELA JUAN XXIII,NUEVA IMPERIAL,Matematicas ,3° Básico,580
6589,ESCUELA JUAN XXIII,NUEVA IMPERIAL,Matematicas ,4° Básico,582
6600,ESCUELA EL COPIHUAL,NUEVA IMPERIAL,Matematicas ,1° Básico,
6600,ESCUELA EL COPIHUAL,NUEVA IMPERIAL,Matematicas ,2° Básico,595
6600,ESCUELA EL COPIHUAL,NUEVA IMPERIAL,Matematicas ,3° Básico,575
6600,ESCUELA EL COPIHUAL,NUEVA IMPERIAL,Matematicas ,4° Básico,
6605,ESC.BASICA RAYEN MAHUIDA,NUEVA IMPERIAL,Matematicas ,1° Básico,604
6605,ESC.BASICA RAYEN MAHUIDA,NUEVA IMPERIAL,Matematicas ,2° Básico,538
6605,ESC.BASICA RAYEN MAHUIDA,NUEVA IMPERIAL,Matematicas ,3° Básico,573
6605,ESC.BASICA RAYEN MAHUIDA,NUEVA IMPERIAL,Matematicas ,4° Básico,608
6611,ESC. BASICA CHIVILCOYAN,NUEVA IMPERIAL,Matematicas ,1° Básico,579
6611,ESC. BASICA CHIVILCOYAN,NUEVA IMPERIAL,Matematicas ,2° Básico,578
6611,ESC. BASICA CHIVILCOYAN,NUEVA IMPERIAL,Matematicas ,3° Básico,590
6611,ESC. BASICA CHIVILCOYAN,NUEVA IMPERIAL,Matematicas ,4° Básico,614
6623,ESCUELA ARENAS BLANCAS,NUEVA IMPERIAL,Matematicas ,1° Básico,
6623,ESCUELA ARENAS BLANCAS,NUEVA IMPERIAL,Matematicas ,2° Básico,559
6623,ESCUELA ARENAS BLANCAS,NUEVA IMPERIAL,Matematicas ,3° Básico,604
6623,ESCUELA ARENAS BLANCAS,NUEVA IMPERIAL,Matematicas ,4° Básico,571
6625,ESC. BASICA LOS CANELOS,NUEVA IMPERIAL,Matematicas ,1° Básico,
6625,ESC. BASICA LOS CANELOS,NUEVA IMPERIAL,Matematicas ,2° Básico,586
6625,ESC. BASICA LOS CANELOS,NUEVA IMPERIAL,Matematicas ,3° Básico,
6625,ESC. BASICA LOS CANELOS,NUEVA IMPERIAL,Matematicas ,4° Básico,
6628,ESC. BASICA LIFKO,NUEVA IMPERIAL,Matematicas ,1° Básico,590
6628,ESC. BASICA LIFKO,NUEVA IMPERIAL,Matematicas ,2° Básico,586
6628,ESC. BASICA LIFKO,NUEVA IMPERIAL,Matematicas ,3° Básico,550
6628,ESC. BASICA LIFKO,NUEVA IMPERIAL,Matematicas ,4° Básico,548
6633,ESC. BASICA SANTA MARIA DE BOROA,NUEVA IMPERIAL,Matematicas ,1° Básico,543
6633,ESC. BASICA SANTA MARIA DE BOROA,NUEVA IMPERIAL,Matematicas ,2° Básico,543
6633,ESC. BASICA SANTA MARIA DE BOROA,NUEVA IMPERIAL,Matematicas ,3° Básico,622
6633,ESC. BASICA SANTA MARIA DE BOROA,NUEVA IMPERIAL,Matematicas ,4° Básico,610
6635,ESC. BASICA LOS ROBLES,NUEVA IMPERIAL,Matematicas ,1° Básico,548
6635,ESC. BASICA LOS ROBLES,NUEVA IMPERIAL,Matematicas ,2° Básico,
6635,ESC. BASICA LOS ROBLES,NUEVA IMPERIAL,Matematicas ,3° Básico,625
6635,ESC. BASICA LOS ROBLES,NUEVA IMPERIAL,Matematicas ,4° Básico,636
