RBD,COMUNA,AREA,NIVEL,SECTOR,EJE,VALOR
6349,TOLTÉN,URBANO,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,79"
6350,TOLTÉN,URBANO,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,82"
6351,TOLTÉN,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,9"
6352,TOLTÉN,URBANO,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,83"
6353,TOLTÉN,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,57"
6354,TOLTÉN,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,71"
6358,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,
6361,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,1
6370,TOLTÉN,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,86"
6371,TOLTÉN,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,62"
6373,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,71"
6397,TEODORO SCHMIDT,URBANO,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,86"
6398,TEODORO SCHMIDT,URBANO,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,55"
6399,TEODORO SCHMIDT,URBANO,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,8"
6400,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,71"
6407,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,
6411,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,86"
6413,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,86"
6415,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,79"
6454,SAAVEDRA,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,1
6455,SAAVEDRA,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,57"
6456,SAAVEDRA,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,36"
6457,SAAVEDRA,URBANO,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,78"
6458,SAAVEDRA,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,43"
6459,SAAVEDRA,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,86"
6495,SAAVEDRA,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,91"
6499,CARAHUE,URBANO,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,85"
6500,CARAHUE,URBANO,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,9"
6501,CARAHUE,URBANO,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,85"
6502,CARAHUE,URBANO,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,81"
6504,CARAHUE,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,79"
6508,CARAHUE,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,86"
6510,CARAHUE,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,86"
6512,CARAHUE,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,57"
6522,CARAHUE,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,57"
6529,CARAHUE,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,71"
6539,CARAHUE,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,95"
6587,NUEVA IMPERIAL,URBANO,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,81"
6593,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,9"
6600,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,57"
6602,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,86"
6605,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,82"
6608,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,81"
6611,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,86"
6623,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,86"
6628,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,79"
6639,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,76"
6349,TOLTÉN,URBANO,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6350,TOLTÉN,URBANO,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,82"
6351,TOLTÉN,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,96"
6352,TOLTÉN,URBANO,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,8"
6353,TOLTÉN,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,91"
6358,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,75"
6371,TOLTÉN,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,71"
6373,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,46"
6374,TOLTÉN,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6397,TEODORO SCHMIDT,URBANO,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,73"
6398,TEODORO SCHMIDT,URBANO,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,61"
6399,TEODORO SCHMIDT,URBANO,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6400,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,69"
6407,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,5"
6411,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,71"
6413,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6454,SAAVEDRA,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6455,SAAVEDRA,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,68"
6456,SAAVEDRA,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,19"
6457,SAAVEDRA,URBANO,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,78"
6458,SAAVEDRA,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,77"
6459,SAAVEDRA,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,75"
6495,SAAVEDRA,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,86"
6499,CARAHUE,URBANO,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,85"
6500,CARAHUE,URBANO,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,83"
6501,CARAHUE,URBANO,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,9"
6502,CARAHUE,URBANO,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,93"
6504,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,81"
6506,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,1
6522,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6523,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6524,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6528,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,85"
6539,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,97"
6587,NUEVA IMPERIAL,URBANO,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,8"
6593,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,85"
6600,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6605,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,81"
6608,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,75"
6611,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6623,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,81"
6628,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,44"
6635,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,94"
6639,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,75"
6349,TOLTÉN,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,79"
6350,TOLTÉN,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,7"
6351,TOLTÉN,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,69"
6352,TOLTÉN,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,71"
6353,TOLTÉN,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,63"
6354,TOLTÉN,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,75"
6358,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,56"
6371,TOLTÉN,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,38"
6373,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,56"
6397,TEODORO SCHMIDT,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,77"
6398,TEODORO SCHMIDT,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,5"
6399,TEODORO SCHMIDT,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,77"
6400,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,5"
6407,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,63"
6410,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,75"
6411,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,1
6413,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6415,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6454,SAAVEDRA,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,84"
6455,SAAVEDRA,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,58"
6456,SAAVEDRA,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,38"
6457,SAAVEDRA,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,73"
6458,SAAVEDRA,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,31"
6459,SAAVEDRA,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,71"
6495,SAAVEDRA,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,77"
6499,CARAHUE,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,74"
6500,CARAHUE,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,69"
6501,CARAHUE,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,76"
6502,CARAHUE,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,66"
6504,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,66"
6512,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,75"
6521,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,75"
6523,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6524,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,5"
6526,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,75"
6528,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,78"
6529,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,63"
6587,NUEVA IMPERIAL,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,69"
6593,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,74"
6602,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,1
6605,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,44"
6608,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,54"
6611,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,71"
6623,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,75"
6628,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,81"
6635,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,5"
6349,TOLTÉN,URBANO,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,8"
6350,TOLTÉN,URBANO,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,9"
6351,TOLTÉN,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,79"
6352,TOLTÉN,URBANO,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,81"
6353,TOLTÉN,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,89"
6354,TOLTÉN,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,89"
6358,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,
6361,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,78"
6370,TOLTÉN,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,1
6371,TOLTÉN,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,63"
6373,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,67"
6397,TEODORO SCHMIDT,URBANO,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,91"
6398,TEODORO SCHMIDT,URBANO,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,68"
6399,TEODORO SCHMIDT,URBANO,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,81"
6400,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,78"
6407,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,
6411,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,89"
6413,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,89"
6415,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,94"
6454,SAAVEDRA,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,83"
6455,SAAVEDRA,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,67"
6456,SAAVEDRA,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,33"
6457,SAAVEDRA,URBANO,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,78"
6458,SAAVEDRA,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,33"
6459,SAAVEDRA,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,85"
6495,SAAVEDRA,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,84"
6499,CARAHUE,URBANO,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,86"
6500,CARAHUE,URBANO,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,87"
6501,CARAHUE,URBANO,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,82"
6502,CARAHUE,URBANO,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,83"
6504,CARAHUE,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,75"
6508,CARAHUE,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,56"
6510,CARAHUE,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,89"
6512,CARAHUE,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,56"
6522,CARAHUE,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,78"
6529,CARAHUE,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,67"
6539,CARAHUE,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,76"
6587,NUEVA IMPERIAL,URBANO,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,81"
6593,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,86"
6600,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,56"
6602,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,76"
6605,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,72"
6608,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,78"
6611,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,1
6623,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,85"
6628,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,72"
6639,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,8"
6349,TOLTÉN,URBANO,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,83"
6350,TOLTÉN,URBANO,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,75"
6351,TOLTÉN,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,7"
6352,TOLTÉN,URBANO,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,67"
6353,TOLTÉN,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,67"
6358,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,89"
6371,TOLTÉN,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,59"
6373,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,37"
6374,TOLTÉN,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,78"
6397,TEODORO SCHMIDT,URBANO,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,71"
6398,TEODORO SCHMIDT,URBANO,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,5"
6399,TEODORO SCHMIDT,URBANO,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,79"
6400,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,56"
6407,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,36"
6411,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,67"
6413,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,94"
6454,SAAVEDRA,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,78"
6455,SAAVEDRA,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,56"
6456,SAAVEDRA,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,11"
6457,SAAVEDRA,URBANO,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,67"
6458,SAAVEDRA,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,65"
6459,SAAVEDRA,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,61"
6495,SAAVEDRA,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,71"
6499,CARAHUE,URBANO,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,81"
6500,CARAHUE,URBANO,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,66"
6501,CARAHUE,URBANO,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,76"
6502,CARAHUE,URBANO,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,69"
6504,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,58"
6506,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,89"
6522,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,78"
6523,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,78"
6524,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,61"
6528,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,78"
6539,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,72"
6587,NUEVA IMPERIAL,URBANO,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,71"
6593,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,81"
6600,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,81"
6605,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,78"
6608,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,59"
6611,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,61"
6623,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,56"
6628,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,67"
6635,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,56"
6639,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,78"
6349,TOLTÉN,URBANO,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,7"
6350,TOLTÉN,URBANO,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,64"
6351,TOLTÉN,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,68"
6352,TOLTÉN,URBANO,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,73"
6353,TOLTÉN,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,7"
6354,TOLTÉN,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,1
6358,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,45"
6371,TOLTÉN,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,45"
6373,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,65"
6397,TEODORO SCHMIDT,URBANO,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,73"
6398,TEODORO SCHMIDT,URBANO,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,47"
