RBD;COM;AREA;MAT;ASIST;N_L;PPEL;var_est_gse_l;Localizar;Interpretar_relacionar;Reflexionar;L_Adec;L_Elem;L_Insuf;N_M;PPEM;var_est_gse_m;Numeros_operaciones;Patrones_algebra;Geometria;Medicion;Datos_probabilidades;M_Adec;M_Elem;M_Insuf
6349;TOLTÉN;URBANO;293;0,88;37;312;Mas alto;6;7;5;78,4;16,2;5,4;37;300;Mas alto;7;5;6;6;6;51,4;40,5;8,1
6350;TOLTÉN;URBANO;186;0,97;19;240;Mas bajo;4;4;4;21,1;15,8;63,2;19;239;Mas bajo;4;5;5;4;4;5,3;47,4;47,4
6351;TOLTÉN;RURAL;128;0,99;9;307;Mas alto;7;6;5;0;0;0;9;278;Mas alto;6;6;6;5;5;0;0;0
6352;TOLTÉN;URBANO;114;0,91;11;225;Mas bajo;3;3;4;9,1;27,3;63,6;11;220;Mas bajo;3;4;4;4;4;9,1;27,3;63,6
6358;TEODORO SCHMIDT;RURAL;10;1,00;2;254;No Valido;5;5;0;0;0;0;2;205;No Valido;3;3;4;3;2;0;0;0
6363;TOLTÉN;RURAL;3;1,00;3;311;No Valido;7;7;5;0;0;0;3;278;No Valido;6;5;5;7;6;0;0;0
6373;TEODORO SCHMIDT;RURAL;32;0,94;2;304;No Valido;7;7;3;0;0;0;2;266;No Valido;5;6;8;4;5;0;0;0
6397;TEODORO SCHMIDT;URBANO;200;0,84;13;244;Mas bajo;4;4;5;30,8;23,1;46,2;13;251;Similar;4;5;5;5;5;7,7;61,5;30,8
6398;TEODORO SCHMIDT;URBANO;485;0,96;33;250;Mas bajo;4;4;4;27,3;33,3;39,4;34;257;Mas alto;5;5;5;5;6;20,6;44,1;35,3
6399;TEODORO SCHMIDT;URBANO;209;0,91;21;256;Similar;5;4;4;38,1;28,6;33,3;21;267;Mas alto;6;5;5;5;5;38,1;28,6;33,3
6411;TEODORO SCHMIDT;RURAL;15;0,99;4;296;No Valido;7;6;4;0;0;0;3;247;No Valido;4;7;4;3;5;0;0;0
6452;SAAVEDRA;URBANO;423;0,80;13;257;Similar;4;5;5;30,8;38,5;30,8;14;256;Similar;5;5;5;6;5;14,3;57,1;28,6
6454;SAAVEDRA;RURAL;62;0,79;2;296;No Valido;6;6;5;0;0;0;3;265;No Valido;5;5;6;5;7;0;0;0
6455;SAAVEDRA;RURAL;42;0,58;4;297;No Valido;6;6;5;0;0;0;4;249;No Valido;5;4;5;5;4;0;0;0
6456;SAAVEDRA;RURAL;35;0,82;1;0;No Valido;0;0;0;0;0;0;5;236;No Valido;4;3;6;4;4;0;0;0
6457;SAAVEDRA;URBANO;210;0,89;20;231;Mas bajo;3;4;5;20;20;60;19;236;Mas bajo;4;5;5;4;4;5,3;36,8;57,9
6458;SAAVEDRA;RURAL;42;0,98;5;259;No Valido;4;5;4;0;0;0;4;230;No Valido;4;3;5;3;4;0;0;0
6459;SAAVEDRA;RURAL;83;0,87;8;270;Mas alto;5;5;5;0;0;0;10;247;Mas alto;4;5;4;5;5;20;40;40
6499;CARAHUE;URBANO;280;0,85;23;259;Similar;5;5;4;47,8;17,4;34,8;20;260;Mas alto;5;5;5;4;6;35;25;40
6500;CARAHUE;URBANO;1170;0,92;58;274;Mas alto;5;5;5;44,8;29,3;25,9;61;263;Mas alto;5;4;5;5;6;21,3;49,2;29,5
6501;CARAHUE;URBANO;595;0,93;56;265;Similar;5;5;4;37,5;28,6;33,9;57;259;Mas alto;5;5;5;5;5;22,8;47,4;29,8
6528;CARAHUE;RURAL;41;0,96;4;201;No Valido;3;2;3;0;0;0;4;235;No Valido;4;3;4;4;4;0;0;0
6539;CARAHUE;RURAL;14;0,96;3;237;No Valido;4;4;4;0;0;0;3;200;No Valido;2;2;3;3;3;0;0;0
6588;NUEVA IMPERIAL;URBANO;257;0,90;18;243;Mas bajo;4;4;4;22,2;33,3;44,4;19;206;Mas bajo;3;4;3;4;4;0;26,3;73,7
6589;NUEVA IMPERIAL;URBANO;255;0,95;19;245;Mas bajo;4;4;5;15,8;42,1;42,1;18;229;Mas bajo;4;4;5;4;4;0;38,9;61,1
6593;NUEVA IMPERIAL;RURAL;100;0,85;6;247;Similar;4;4;3;0;0;0;6;224;Mas bajo;3;4;5;4;4;0;0;0
6602;NUEVA IMPERIAL;RURAL;10;1,00;3;270;No Valido;4;6;4;0;0;0;3;250;No Valido;4;6;4;5;4;0;0;0
6611;NUEVA IMPERIAL;RURAL;29;0,93;2;213;No Valido;3;3;5;0;0;0;2;190;No Valido;2;3;1;3;3;0;0;0
6623;NUEVA IMPERIAL;RURAL;23;0,84;3;235;No Valido;4;3;5;0;0;0;3;195;No Valido;2;4;2;3;4;0;0;0
6628;NUEVA IMPERIAL;RURAL;18;0,90;1;0;No Valido;0;0;0;0;0;0;3;260;No Valido;5;5;6;4;6;0;0;0
6633;NUEVA IMPERIAL;RURAL;34;1,00;2;263;No Valido;5;4;5;0;0;0;2;234;No Valido;4;3;2;5;4;0;0;0
6639;NUEVA IMPERIAL;RURAL;29;0,71;3;261;No Valido;4;5;4;;0;0;3;262;No Valido;6;6;6;3;6;0;0;0